ID,Tamil Question,AI Answer A,AI Answer B,Correctness A,Correctness B,Better Answer,Reason
1,இந்தியாவின் தலைநகரம் என்ன?,இந்தியாவின் தலைநகரம் நியூ டெல்லி.,இந்தியாவின் தலைநகரம் மும்பை.,Correct,Incorrect,A,Answer A gives the correct capital of India; Answer B is factually incorrect.
2,சூரிய குடும்பத்தில் மிகப்பெரிய கிரகம் எது?,சூரிய குடும்பத்தில் மிகப்பெரிய கிரகம் வியாழன்.,சூரிய குடும்பத்தில் மிகப்பெரிய கிரகம் செவ்வாய்.,Correct,Incorrect,A,Answer A correctly identifies Jupiter; Answer B is incorrect.
3,தண்ணீரின் வேதியியல் சூத்திரம் என்ன?,தண்ணீரின் வேதியியல் சூத்திரம் H₂O.,தண்ணீரின் வேதியியல் சூத்திரம் CO₂.,Correct,Incorrect,A,Answer A is scientifically correct; Answer B gives the formula for carbon dioxide.
4,மனிதர்கள் சுவாசிக்க தேவையான முக்கிய வாயு எது?,மனிதர்கள் சுவாசிக்க தேவையான முக்கிய வாயு ஆக்சிஜன்.,மனிதர்கள் சுவாசிக்க தேவையான முக்கிய வாயு நைட்ரஜன்.,Correct,Incorrect,A,Answer A correctly identifies oxygen; Answer B is incorrect.
5,25 × 4 எவ்வளவு?,25 × 4 = 100.,25 × 4 = 90.,Correct,Incorrect,A,Answer A has the correct calculation; Answer B is incorrect.
6,100 இன் 20% எவ்வளவு?,100 இன் 20% என்பது 20.,100 இன் 20% என்பது 10.,Correct,Incorrect,A,Answer A is mathematically correct; Answer B is incorrect.
7,Python என்றால் என்ன?,Python என்பது நிரலாக்க மொழி.,Python என்பது ஒரு கிரகம்.,Correct,Incorrect,A,Answer A correctly describes Python as a programming language; Answer B is incorrect.
8,செயற்கை நுண்ணறிவு என்றால் என்ன?,மனிதர்களைப் போன்ற சில அறிவாற்றல் பணிகளை கணினிகள் செய்ய உதவும் தொழில்நுட்பம் செயற்கை நுண்ணறிவு.,செயற்கை நுண்ணறிவு என்பது இணைய இணைப்பு மட்டுமே.,Correct,Incorrect,A,Answer A gives a correct general definition; Answer B is incorrect.
9,பூமியின் இயற்கை துணைக்கோள் எது?,பூமியின் இயற்கை துணைக்கோள் சந்திரன்.,பூமியின் இயற்கை துணைக்கோள் சூரியன்.,Correct,Incorrect,A,Answer A is correct; the Sun is not Earth's natural satellite.
10,தமிழ்நாட்டின் தலைநகரம் என்ன?,தமிழ்நாட்டின் தலைநகரம் சென்னை.,தமிழ்நாட்டின் தலைநகரம் கோயம்புத்தூர்.,Correct,Incorrect,A,Answer A correctly identifies Chennai; Answer B is incorrect.
11,ஒரு வாரத்தில் எத்தனை நாட்கள் உள்ளன?,ஒரு வாரத்தில் 7 நாட்கள் உள்ளன.,ஒரு வாரத்தில் 8 நாட்கள் உள்ளன.,Correct,Incorrect,A,Answer A is correct; a week has seven days.
12,சூரியன் எந்த வகையான விண்வெளிப் பொருள்?,சூரியன் ஒரு நட்சத்திரம்.,சூரியன் ஒரு கோள்.,Correct,Incorrect,A,Answer A is correct; the Sun is a star.
13,பூமி சூரியனைச் சுற்றி வர எவ்வளவு காலம் ஆகும்?,பூமி சூரியனைச் சுற்றி வர சுமார் 365 நாட்கள் ஆகும்.,பூமி சூரியனைச் சுற்றி வர சுமார் 30 நாட்கள் ஆகும்.,Correct,Incorrect,A,Answer A is approximately correct; Answer B is incorrect.
14,மனித உடலில் இரத்தத்தை பம்ப் செய்யும் உறுப்பு எது?,இதயம் இரத்தத்தை உடல் முழுவதும் பம்ப் செய்கிறது.,நுரையீரல் இரத்தத்தை உடல் முழுவதும் பம்ப் செய்கிறது.,Correct,Incorrect,A,Answer A correctly identifies the heart.
15,கணினியின் CPU என்பதன் விரிவாக்கம் என்ன?,Central Processing Unit.,Computer Personal Unit.,Correct,Incorrect,A,Answer A gives the correct expansion of CPU.
16,HTML எதற்காக பயன்படுத்தப்படுகிறது?,HTML வலைப்பக்கத்தின் அமைப்பை உருவாக்க பயன்படுத்தப்படுகிறது.,HTML கணினியின் RAM அளவை அதிகரிக்க பயன்படுத்தப்படுகிறது.,Correct,Incorrect,A,Answer A correctly describes a primary use of HTML.
17,பூமியில் உயிரினங்கள் வாழ உதவும் முக்கிய காரணங்களில் ஒன்று என்ன?,திரவ நீர் மற்றும் ஏற்ற சூழ்நிலைகள் உயிரினங்கள் வாழ உதவுகின்றன.,பூமியில் காற்று இல்லாததால் உயிரினங்கள் வாழ்கின்றன.,Correct,Incorrect,A,Answer A is correct; Answer B is false.
18,5 + 7 எவ்வளவு?,5 + 7 = 12.,5 + 7 = 13.,Correct,Incorrect,A,Answer A is mathematically correct.
19,தமிழ் எந்த வகையான மொழி?,தமிழ் ஒரு திராவிட மொழி.,தமிழ் ஒரு கணினி இயக்க முறைமை.,Correct,Incorrect,A,Answer A is correct; Answer B is unrelated.
20,மின்சாரம் கடத்தக்கூடிய பொருளுக்கு ஒரு உதாரணம் கூறுக.,செம்பு மின்சாரத்தை நன்றாக கடத்தும்.,ரப்பர் மின்சாரத்தை நன்றாக கடத்தும்.,Correct,Incorrect,A,Answer A gives a suitable conductor; Answer B is generally an insulator.
21,மழை எப்படி உருவாகிறது?,"நீர் ஆவியாகி, குளிர்ந்து மேகங்களில் துளிகளாகி, பின்னர் மழையாக விழுகிறது.",மழை என்பது வானத்தில் உள்ள நீர் ஆவியாகி குளிர்வதுடன் தொடர்புடையது.,Correct,Partially Correct,A,Answer A gives a clearer and more complete explanation; Answer B is broadly correct but incomplete.
22,ஒளிச்சேர்க்கை என்றால் என்ன?,தாவரங்கள் ஒளியைப் பயன்படுத்தி உணவு தயாரிக்கும் செயல்முறை.,தாவரங்கள் ஒளியைப் பயன்படுத்தி வளர்கின்றன.,Correct,Partially Correct,A,Answer A defines photosynthesis more accurately; Answer B is incomplete.
23,இணையம் என்றால் என்ன?,பல கணினி மற்றும் சாதனங்களை இணைக்கும் உலகளாவிய வலையமைப்பு.,இணையம் என்பது தகவல்களை பகிர பயன்படுத்தப்படும் ஒன்று.,Correct,Partially Correct,A,Answer A is more precise; Answer B is generally correct but incomplete.
24,Python மொழியில் ஒரு variable என்றால் என்ன?,தரவை சேமிக்க பெயரிடப்பட்ட இடம் அல்லது குறிப்பு.,Python-ல் variable என்பது மதிப்பை வைத்திருக்க பயன்படும் ஒன்று.,Correct,Partially Correct,A,Answer A is more precise; Answer B is correct in general but less detailed.
25,தரவுத்தளம் என்றால் என்ன?,தகவல்களை ஒழுங்காக சேமித்து நிர்வகிக்கும் அமைப்பு.,தகவல்களை சேமிக்கும் இடம்.,Correct,Partially Correct,A,Answer A is more complete; Answer B is too vague.
26,AI என்றால் என்ன?,AI என்பது மனித அறிவாற்றலைப் போன்ற சில பணிகளை கணினிகள் செய்ய உதவும் தொழில்நுட்பம்.,AI என்பது கணினி தொழில்நுட்பம்.,Correct,Partially Correct,A,Answer A is a clear definition; Answer B is overly broad.
27,வானவில் எப்படி உருவாகிறது?,"சூரிய ஒளி நீர்த்துளிகளில் விலகி, பிரதிபலித்து, பிரிந்து வானவில் உருவாகிறது.",மழை பெய்யும்போது வானத்தில் நிறங்கள் தோன்றுவது வானவில்.,Correct,Partially Correct,A,Answer A explains the process; Answer B describes the phenomenon but does not explain it.
28,புதுப்பிக்கத்தக்க ஆற்றல் என்றால் என்ன?,இயற்கையாக மீண்டும் கிடைக்கக்கூடிய ஆதாரங்களில் இருந்து பெறப்படும் ஆற்றல்.,சூரிய ஆற்றல் போன்ற சில ஆற்றல் வகைகள் புதுப்பிக்கத்தக்கவை.,Correct,Partially Correct,A,Answer A gives the definition; Answer B gives an example but not a full definition.
29,கணினி நினைவகம் எதற்காக பயன்படுகிறது?,தரவு மற்றும் நிரல் தகவல்களை சேமிக்க கணினி நினைவகம் பயன்படுகிறது.,கணினியில் தகவல்களை வைத்திருக்க பயன்படுகிறது.,Correct,Partially Correct,A,Answer A is more specific; Answer B is broadly correct but incomplete.
30,சுகாதாரமான உணவு என்றால் என்ன?,உடலுக்கு தேவையான ஊட்டச்சத்துகளை சமநிலையாக வழங்கும் உணவு.,பழங்கள் மற்றும் காய்கறிகள் மட்டும் சாப்பிடுவது சுகாதாரமான உணவு.,Correct,Partially Correct,A,Answer A correctly describes a balanced concept; Answer B is incomplete and overly restrictive.
31,இந்தியாவின் தேசிய மொழி என்ன?,இந்தியாவிற்கு அரசியலமைப்பில் அறிவிக்கப்பட்ட ஒரே தேசிய மொழி இல்லை.,இந்தியாவின் தேசிய மொழி ஹிந்தி.,Correct,Incorrect,A,Answer A is correct; India does not have a single constitutionally declared national language.
